date,team1,score1,team2,score2,forfeit,overtime
2026-09-01,St. Mary's South Side,0,SLUH,7,False,False
2026-09-01,Lincoln College Prep,5,Smith-Cotton,0,False,False
2026-09-01,Raytown,2,Smithville,1,False,False
2026-09-01,Republic,0,Springfield Catholic,7,False,False
2026-09-01,Holt,0,St. Charles,8,False,False
2026-09-01,Central (St. Joseph),0,Staley,2,False,False
2026-09-01,Washington,1,Sullivan,3,False,False
2026-09-01,Center,1,Summit Christian Academy,6,False,False
2026-09-01,Pleasant Hill,3,Truman,2,False,False
2026-09-01,Windsor (Imperial),2,Union,3,False,False
2026-09-01,Collegiate School of Med-Bio Science with McKinley Classical Leadership,2,University City,1,False,False
2026-09-01,Liberty North,3,Van Horn,2,False,False
2026-09-01,St. Dominic,1,Vianney,0,False,False
2026-09-01,St. Charles West,1,Warrenton,2,False,False
2026-09-01,Greenwood,1,West Plains,4,False,False
2026-09-01,Parkway Central,5,Whitfield,0,False,False
2026-09-01,Oak Grove,2,William Chrisman,1,False,False
2026-09-01,Fort Osage,3,Winnetonka,1,False,False
2026-09-01,Fatima,,Fulton,,False,False
2026-09-01,Kirkwood,,Parkway West,,False,False
2026-09-01,Parkway South,,Seckman,,False,False
2026-09-02,Lincoln College Prep,1,Blue Springs South,9,False,False
2026-09-02,Benton,1,Central (St. Joseph),5,False,False
2026-09-02,Rock Bridge,4,Father Tolton,0,False,False
2026-09-02,Smithville,1,Grain Valley,3,False,False
2026-09-02,Fort Osage,1,Grandview,0,False,False
2026-09-02,Clinton,8,Knob Noster,0,False,False
2026-09-02,Sacred Heart,0,Lutheran (Kansas City),0,False,False
2026-09-02,Union,0,Lutheran St. Charles,4,False,False
2026-09-02,Parkway West,0,Marquette,3,False,False
2026-09-02,Pacific,5,North County,0,False,False
2026-09-02,Winnetonka,0,North Kansas City,8,False,False
2026-09-02,Platte County,0,Park Hill,4,False,False
2026-09-02,Smith-Cotton,10,Raytown,9,False,False
2026-09-02,Excelsior Springs,2,Savannah,1,False,False
2026-09-02,Lone Jack,4,Warrensburg,1,False,False
2026-09-02,Odessa,2,William Chrisman,3,False,False
2026-09-03,Logan-Rogersville,8,Aurora,0,False,False
2026-09-03,Sacred Heart,0,Barstow,8,False,False
2026-09-03,Raymore-Peculiar,3,Belton,0,False,False
2026-09-03,Odessa,1,Benton,5,False,False
2026-09-03,Summit Christian Academy,0,Blue Springs,4,False,False
2026-09-03,Park Hill,0,Blue Springs South,4,False,False
2026-09-03,Smithton,0,Boonville,6,False,False
2026-09-03,Joplin,0,Branson,1,False,False
2026-09-03,Gateway Science Charter,1,Brentwood,2,False,False
2026-09-03,West Plains,1,Camdenton,6,False,False
2026-09-03,Moberly,8,Canton,0,False,False
2026-09-03,Paseo Academy,0,Capital City,8,False,False
2026-09-03,Bolivar,1,Cassville,2,False,False
2026-09-03,Guadalupe Centers Charter,5,Center,4,False,False
2026-09-03,Marshall,5,Chillicothe,0,False,False
2026-09-03,St. Mary's South Side,1,Clayton,7,False,False
2026-09-03,Frontier STEM,4,Cristo Rey,2,False,False
2026-09-03,Saxony Lutheran with St. Vincent,7,Dexter,0,False,False
2026-09-03,Southern Boone,5,Elsberry,0,False,False
2026-09-03,Fort Osage,4,Excelsior Springs,2,False,False
2026-09-03,North County,0,Fredericktown,2,False,False
2026-09-03,Seckman,0,Ft. Zumwalt East,1,False,False
2026-09-03,Francis Howell Central,3,Ft. Zumwalt South,2,False,False
2026-09-03,Willard,2,Greenwood,1,False,False
2026-09-03,Parkview,4,Hillcrest,0,False,False
2026-09-03,Windsor (Imperial),1,Hillsboro,0,False,False
2026-09-03,Warrenton,6,Holt,1,False,False
2026-09-03,Laquey with Richland,8,Iberia,0,False,False
2026-09-03,Central (Springfield),3,Jefferson City,1,False,False
2026-09-03,Priory,1,John Burroughs,2,False,False
2026-09-03,Hannibal,2,Kirksville,3,False,False
2026-09-03,Chaminade College Prep,1,Kirkwood,0,False,False
2026-09-03,De Smet Jesuit,3,Ladue Horton Watkins,1,False,False
2026-09-03,Rockwood Summit,1,Lafayette (Wildwood),3,False,False
2026-09-03,Crocker,3,Lebanon,6,False,False
2026-09-03,Van Horn,1,Lee's Summit,2,False,False
2026-09-03,Staley,0,Liberty,2,False,False
2026-09-03,Oak Park,0,Liberty North,8,False,False
2026-09-03,Christian Brothers College,3,Lindbergh,1,False,False
2026-09-03,MICDS,4,Lutheran South,2,False,False
2026-09-03,Parkway North,0,Maplewood-Richmond Hts.,2,False,False
2026-09-03,Lone Jack,3,Maryville,2,False,False
2026-09-03,Oakville,2,Mehlville,0,False,False
2026-09-03,Fulton,2,Mexico,1,False,False
2026-09-03,Nixa,4,Monett,0,False,False
2026-09-03,Kickapoo,2,Neosho,1,False,False
2026-09-03,Marshfield,0,New Heights Christian with McAuley Catholic,2,False,False
2026-09-03,Bishop LeBlond,0,Northeast (Kansas City),8,False,False
2026-09-03,Eureka,6,Northwest (Cedar Hill),5,False,False
2026-09-03,Raytown South,0,Oak Grove,6,False,False
2026-09-03,Helias Catholic,1,Ozark,0,False,False
2026-09-03,Principia,1,Parkway Central,0,False,False
2026-09-03,Pattonville,1,Parkway South,2,False,False
2026-09-03,DeSoto,3,Perryville,4,False,False
2026-09-03,Farmington,3,Republic,1,False,False
2026-09-03,Lee's Summit West,1,Rockhurst,3,False,False
2026-09-03,Kearney,9,Ruskin,1,False,False
2026-09-03,Carl Junction,0,Springfield Catholic,6,False,False
2026-09-03,Orchard Farm,6,St. Charles West,0,False,False
2026-09-03,Hancock,2,STEAM Academy,1,False,False
2026-09-03,Fatima,2,Stover,4,False,False
2026-09-03,Waynesville,1,Sullivan,0,False,False
2026-09-03,North Point,1,Timberland,2,False,False
2026-09-03,Ft. Zumwalt West,1,Troy Buchanan,0,False,False
2026-09-03,Park Hill South,8,Truman,0,False,False
2026-09-03,Veritas Christian Academy,1,Valley Park,0,False,False
2026-09-03,McDonald County,4,Webb City,0,False,False
2026-09-03,Whitfield,1,Westminster Christian Academy,4,False,False
2026-09-03,St. Charles,5,Winfield,0,False,False
2026-09-03,Christian Fellowship Sr. with Hallsville,2,Wright City,1,False,False
2026-09-03,Bishop DuBourg,,Affton,,False,False
2026-09-03,St. Pius X (Festus),,Fox,,False,False
2026-09-03,Liberty (Wentzville),,Francis Howell,,False,False
2026-09-03,Webster Groves,,Vianney,,False,False
2026-09-04,Hickman,3,Central (Springfield),2,False,False
2026-09-04,Dixon,1,Lebanon,6,False,False
2026-09-04,Ft. Zumwalt North,2,Lutheran St. Charles,1,False,False
2026-09-04,Willard,2,New Covenant Academy,1,False,False
2026-09-04,Glendale,0,SLUH,3,False,False
2026-09-04,Christian Fellowship Sr. with Hallsville,3,Smithton,2,False,False
2026-09-04,Pembroke Hill,4,Springfield Catholic,0,False,False
2026-09-04,Collegiate School of Med-Bio Science with McKinley Classical Leadership,,Bayless,,False,False
2026-09-04,Notre Dame (Cape Girardeau),,Poplar Bluff,,False,False
2026-09-04,La Monte,,St. Paul Lutheran (Concordia),,False,False
2026-09-05,Farmington,2,Branson,1,False,False
2026-09-05,Raymore-Peculiar,2,Carthage,1,False,False
2026-09-05,St. Mary's South Side,1,De Smet Jesuit,4,False,False
2026-09-05,Pembroke Hill,3,Kickapoo,2,False,False
2026-09-05,Sacred Heart,1,Maryville,4,False,False
2026-09-05,Hickman,3,Parkview,1,False,False
2026-09-05,Veritas Christian Academy,0,Priory,2,False,False
2026-09-05,West Plains,1,Sikeston,9,False,False
2026-09-05,Glendale,2,Vianney,2,False,False
2026-09-05,Lutheran (Kansas City),1,Warrensburg,1,False,False
2026-09-05,Chaminade College Prep,,Christian Brothers College,,False,False
2026-09-05,Barstow,,Lone Jack,,False,False
2026-09-06,Farmington,2,Branson,1,False,False
2026-09-06,Raymore-Peculiar,2,Carthage,1,False,False
2026-09-06,St. Mary's South Side,1,De Smet Jesuit,4,False,False
2026-09-06,Pembroke Hill,3,Kickapoo,2,False,False
2026-09-06,Sacred Heart,1,Maryville,4,False,False
2026-09-06,Hickman,3,Parkview,1,False,False
2026-09-06,Veritas Christian Academy,0,Priory,2,False,False
2026-09-06,West Plains,1,Sikeston,9,False,False
2026-09-06,Glendale,2,Vianney,2,False,False
2026-09-06,Lutheran (Kansas City),1,Warrensburg,1,False,False
2026-09-06,Chaminade College Prep,,Christian Brothers College,,False,False
2026-09-06,Barstow,,Lone Jack,,False,False
2026-09-07,Pleasant Hill,6,Cameron,1,False,False
2026-09-07,Green Ridge with Cole Camp,2,Clinton,8,False,False
2026-09-07,St. Pius X (Kansas City),1,North Kansas City,2,False,False
2026-09-07,Lone Jack,3,Oak Grove,4,False,False
2026-09-08,Clayton,,Affton,,False,False
2026-09-08,Excelsior Springs,,Belton,,False,False
2026-09-08,Liberty,,Blue Springs,,False,False
2026-09-08,Truman,,Blue Springs South,,False,False
2026-09-08,Fulton,,Boonville,,False,False
