Date,Home Team,Home Score,Away Team,Away Score
2026-09-02,Smithville,1,Grain Valley,3
2026-09-02,Fort Osage,1,Grandview,0
2026-09-02,Clinton,8,Knob Noster,0
2026-09-02,Sacred Heart,0,Lutheran (Kansas City),0
2026-09-02,Union,0,Lutheran St. Charles,4
2026-09-02,Parkway West,0,Marquette,3
2026-09-02,Pacific,5,North County,0
2026-09-02,Winnetonka,0,North Kansas City,8
2026-09-02,Platte County,0,Park Hill,4
2026-09-02,Smith-Cotton,10,Raytown,9
2026-09-02,Excelsior Springs,2,Savannah,1
2026-09-02,Lone Jack,4,Warrensburg,1
2026-09-02,Odessa,2,William Chrisman,3
2026-09-03,Logan-Rogersville,8,Aurora,0
2026-09-03,Sacred Heart,0,Barstow,8
2026-09-03,Raymore-Peculiar,3,Belton,0
2026-09-03,Odessa,1,Benton,5
2026-09-03,Summit Christian Academy,0,Blue Springs,4
2026-09-03,Park Hill,0,Blue Springs South,4
2026-09-03,Smithton,0,Boonville,6
2026-09-03,Joplin,0,Branson,1
2026-09-03,Gateway Science Charter,1,Brentwood,2
2026-09-03,West Plains,1,Camdenton,6
2026-09-03,Moberly,8,Canton,0
2026-09-03,Paseo Academy,0,Capital City,8
2026-09-03,Bolivar,1,Cassville,2
2026-09-03,Guadalupe Centers Charter,5,Center,4
2026-09-03,Marshall,5,Chillicothe,0
2026-09-03,St. Mary's South Side,1,Clayton,7
2026-09-03,Frontier STEM,4,Cristo Rey,2
2026-09-03,Saxony Lutheran with St. Vincent,7,Dexter,0
2026-09-03,Southern Boone,5,Elsberry,0
2026-09-03,Fort Osage,4,Excelsior Springs,2
2026-09-03,Pacific,2,Festus,0
2026-09-03,Liberty (Wentzville),0,Francis Howell,3
2026-09-03,North County,0,Fredericktown,2
2026-09-03,Seckman,0,Ft. Zumwalt East,1
2026-09-03,Francis Howell Central,3,Ft. Zumwalt South,2
2026-09-03,Willard,2,Greenwood,1
2026-09-03,Parkview,4,Hillcrest,0
2026-09-03,Windsor (Imperial),1,Hillsboro,0
2026-09-03,Warrenton,6,Holt,1
2026-09-03,Laquey with Richland,8,Iberia,0
